Portfolio,Risk,Return,NFLX,T,CMCSA,META,LYV,AAPL,ADBE,PLTR,CSCO,MSFT,EQIX,ESS,DLR,VTR,SBAC
Conservative,0.005,0.012002587256773119,0.07406513962903406,0.19999947133383578,4.4487949372161665e-07,0.12098067449354995,3.1965489412591e-07,4.2004347378744384e-06,3.8409301421517413e-07,0.1046287905460632,0.07404386206394967,0.19999939178323403,0.19998694165202424,4.77090992849081e-07,4.830625065038925e-07,0.026289121282093826,2.980005760758647e-07
Balanced,0.005,0.012002587256773119,0.07406513962903406,0.19999947133383578,4.4487949372161665e-07,0.12098067449354995,3.1965489412591e-07,4.2004347378744384e-06,3.8409301421517413e-07,0.1046287905460632,0.07404386206394967,0.19999939178323403,0.19998694165202424,4.77090992849081e-07,4.830625065038925e-07,0.026289121282093826,2.980005760758647e-07
Aggressive,0.013000000000000001,0.019246745126524,0.19999975199243863,2.891188168943429e-07,2.405626034467881e-07,0.1999996754037128,1.8721604644813385e-07,1.1067564508990064e-06,0.19999838033591055,0.19999990699603237,2.445030895371608e-07,0.19999738655141167,1.7809024516304194e-06,1.360881886205736e-07,3.1147729273200937e-07,4.6257055004158395e-07,1.3952500374746196e-07
